email_id,date,sender,recipient,subject,label,content,tier
e1d58190-db7b-4178-8165-60673fad38a4,2024-05-16 01:32:55,karenjenkins@jones.net,john.doe@personal.com,Quarterly Report - 08 2013,Front,Shipment #49308268 has cleared customs and is en route to the warehouse.,1
382b0383-dce5-403f-bd4d-6f90ae4dc4e9,2024-04-29 05:36:54,karenjenkins@jones.net,john.doe@personal.com,Window structure itself yeah.,Suspicious,Church us less source understand site. Technology Mrs available today help thank to.,3
013a70a9-5756-410e-8c44-0766762578d2,2024-06-23 01:44:31,john.doe@personal.com,catherinehorne@example.net,Reality available indicate green two.,Friend,Rather TV American network. Ever sort international technology.,1
ae04c17a-3f24-4a72-b587-9f9fcab17563,2024-02-11 15:14:03,john.doe@personal.com,karenjenkins@jones.net,"New Client Onboarding - Foster, Burgess and Silva",Front,"As per our discussion, we've prepared the new contract for Wilson-Deleon. Please review and sign.",1
70320f2d-d741-415b-a0ff-93bd0b5b73eb,2024-03-28 01:59:26,jeffreymorgan@example.org,john.doe@personal.com,Alone brother sometimes reason sport.,Suspicious,Anything in art until necessary catch sometimes the. International collection say nothing bit hand. Soon middle onto in magazine nature. Business house reduce city sense hot strategy.,3
c95b0835-ba8a-4cc4-8cfb-6570da1b01ea,2024-08-10 02:13:24,john.doe@personal.com,davismichele@example.net,New Task Assignment,Mule,Pick up package from 023 Horton Street Suite 325 and deliver to 017 Christopher Views Apt. 564. Use code: 573462,1
02a218c0-a81a-4939-8a1f-a1c427d62e28,2024-03-01 02:55:53,janetrice@example.org,john.doe@personal.com,Resource care new plan.,Suspicious,Point sit bit name structure scientist alone rich. Goal scientist weight language region process enter save.,3
474b08ae-bc51-4ae3-b888-b0a3153a2602,2024-03-24 09:23:31,ballmichelle@example.net,john.doe@personal.com,Against recent score six.,Suspicious,Degree town trade sound admit. Great both method your catch affect student.,3
4b446dc7-fdcc-4f87-8236-b72e995f4734,2024-04-19 13:20:58,karenjenkins@jones.net,john.doe@personal.com,White month southern every enough.,Suspicious,Agency its other away control should. Half moment either book product. Quickly list difficult street food.,3
5408747d-3295-46c5-bcd5-74b574921383,2024-02-14 02:09:38,john.doe@personal.com,elizabeth33@example.com,Collection century once culture.,Friend,Actually standard body we likely participant part move. Player become office out allow that build. Field plant mother his establish full respond.,1
62d5e6b6-a906-4d1f-ae14-6be47ee3dceb,2024-05-05 03:39:49,uhunter@example.com,john.doe@personal.com,No clear soon blood room since.,Suspicious,Drive oil everybody computer right. Marriage check when health require nor.,3
520e9847-470e-47b1-9dfe-d22fe31e7b22,2024-08-12 12:34:47,andersonangela@example.org,john.doe@personal.com,Yourself radio sure occur report buy add.,Suspicious,Leg meet I our move. Enter recently still these event easy. Guy every wind land.,3
eb5932dd-bee2-48de-8c31-3411f96b49cc,2024-05-30 22:29:14,john.doe@personal.com,elizabeth33@example.com,Policy you carry.,Family,Civil throughout name one. Realize serious number or reveal leg mean.,1
040b8e0c-ad8f-42d3-a020-d3fcf78a80de,2024-01-17 04:24:56,taylorkim@example.org,john.doe@personal.com,Since development notice service.,Admin,Into carry item appear success concern next increase. Right station general maintain everything. Program rise movie exist reach sure.,3
